"Laikotarpis","Rodiklis","Statinių pagal tipą klasifikatorius (CC) (gyvenamieji pastatai, vieno ir dviejų butų pastatai)","Kambarių skaičius","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2024","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","91"
"2024","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","91"
"2024","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","11.7"
"2024","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","11.7"
"2024","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","85"
"2024","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","85"
"2024","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","85"
"2024","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","85"
"2024","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","46"
"2024","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","46"
"2024","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","42"
"2024","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","42"
"2024","Pradėtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","6.9"
"2024","Pradėtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","6.9"
"2024","Baigtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","12.0"
"2024","Baigtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","7.0"
"2024","Baigtų statyti būstų skaičius","","Iš viso pastatytų butų","Elektrėnų sav.","vnt.","125"
"2024","Baigtų statyti būstų skaičius","","1 kambario","Elektrėnų sav.","vnt.",
"2024","Baigtų statyti būstų skaičius","","2 kambarių","Elektrėnų sav.","vnt.",
"2024","Baigtų statyti būstų skaičius","","3 kambarių","Elektrėnų sav.","vnt.","29"
"2024","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","60"
"2024","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","14"
"2024","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","22"
"2023","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","82"
"2023","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","82"
"2023","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","11.9"
"2023","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","11.9"
"2023","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","78"
"2023","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","78"
"2023","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","78"
"2023","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","78"
"2023","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","42"
"2023","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","42"
"2023","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","40"
"2023","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","40"
"2023","Pradėtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","5.9"
"2023","Pradėtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","5.9"
"2023","Baigtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","9.0"
"2023","Baigtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","7.2"
"2023","Baigtų statyti būstų skaičius","","Iš viso pastatytų butų","Elektrėnų sav.","vnt.","84"
"2023","Baigtų statyti būstų skaičius","","1 kambario","Elektrėnų sav.","vnt.","12"
"2023","Baigtų statyti būstų skaičius","","2 kambarių","Elektrėnų sav.","vnt.","13"
"2023","Baigtų statyti būstų skaičius","","3 kambarių","Elektrėnų sav.","vnt.","14"
"2023","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","22"
"2023","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","19"
"2023","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","4"
"2022","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","73"
